epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3754,1.27942,1.67746,1.29791,0.50566,0.47237,0.5244,0.33788,1.32719,2.28278,1.4718,0.0686176,0.000970588,0.000970588
2,54.8077,1.25109,0.94357,1.25447,0.66564,0.63791,0.80463,0.50292,1.52577,6.18532,1.85065,0.0362453,0.00193157,0.00193157
3,82.4594,1.27094,0.91696,1.26797,0.64682,0.61643,0.65684,0.40884,1.57267,2.82809,1.65526,0.00383335,0.00285295,0.00285295
4,109.893,1.2073,0.81143,1.20944,0.90314,0.96735,0.95616,0.61948,1.26566,2.09035,1.34912,0.0028218,0.0028218,0.0028218
5,137.425,1.22726,0.83678,1.2284,0.74027,0.83158,0.87272,0.56097,1.20713,1.97868,1.28236,0.0027624,0.0027624,0.0027624
6,164.858,1.18332,0.75202,1.21267,0.96156,0.958,0.98982,0.70699,1.07217,1.24515,1.17332,0.002703,0.002703,0.002703
7,192.375,1.19092,0.70812,1.19806,0.96448,0.99872,0.98801,0.70809,1.10668,0.85986,1.19861,0.0026436,0.0026436,0.0026436
8,219.934,1.14766,0.68521,1.17712,0.98984,1,0.995,0.73148,1.00588,0.58731,1.10626,0.0025842,0.0025842,0.0025842
9,247.453,1.12899,0.65407,1.17933,0.98061,1,0.99459,0.71265,1.05335,0.56458,1.13393,0.0025248,0.0025248,0.0025248
10,274.877,1.12753,0.65239,1.1791,0.944,0.96004,0.98216,0.65553,1.16809,0.83961,1.21431,0.0024654,0.0024654,0.0024654
11,302.256,1.10308,0.63788,1.15505,0.6294,0.82672,0.81489,0.46613,1.51257,1.27881,1.43634,0.002406,0.002406,0.002406
12,329.651,1.10349,0.62638,1.14939,0.95954,0.98311,0.99382,0.73097,1.08135,0.61652,1.11493,0.0023466,0.0023466,0.0023466
13,357.033,1.12599,0.61804,1.17161,0.99737,0.97911,0.99373,0.73578,1.05089,0.58909,1.10639,0.0022872,0.0022872,0.0022872
14,384.54,1.09709,0.60616,1.15273,0.9943,0.99755,0.995,0.7458,0.98174,0.45522,1.06282,0.0022278,0.0022278,0.0022278
15,411.977,1.07281,0.58604,1.12893,0.99159,1,0.995,0.71805,1.0606,0.49933,1.11988,0.0021684,0.0021684,0.0021684
