epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4408,1.22789,2.91997,1.29448,0.00555,1,0.62684,0.42432,1.03987,2.87651,1.20706,0.0686176,0.000970588,0.000970588
2,54.8677,1.11192,2.02353,1.17442,0.79988,0.5966,0.75519,0.50741,1.2166,2.19974,1.32467,0.0362453,0.00193157,0.00193157
3,82.4217,1.11727,1.30176,1.14907,0.99691,0.99231,0.99417,0.72553,1.02405,1.17951,1.08355,0.00383335,0.00285295,0.00285295
4,109.869,1.05555,1.11207,1.11743,0.99792,0.99231,0.99349,0.73381,0.97396,0.97016,1.07681,0.0028218,0.0028218,0.0028218
5,137.312,1.05017,1.03358,1.11446,0.99562,0.99913,0.995,0.73826,0.96503,0.87508,1.06027,0.0027624,0.0027624,0.0027624
6,164.754,1.03124,0.96395,1.08967,0.9979,0.99231,0.99485,0.74525,0.9669,0.82308,1.05464,0.002703,0.002703,0.002703
7,192.178,1.0362,0.9393,1.0904,0.99517,0.99858,0.995,0.7472,0.92222,0.82136,1.05209,0.0026436,0.0026436,0.0026436
8,219.609,1.0232,0.90022,1.09455,0.99539,0.99905,0.995,0.75484,0.92372,0.77837,1.03802,0.0025842,0.0025842,0.0025842
9,247.094,1.00628,0.90489,1.08125,1,0.99225,0.9947,0.74866,0.94906,0.82282,1.05912,0.0025248,0.0025248,0.0025248
10,274.485,1.0185,0.8764,1.09621,0.99524,0.9988,0.995,0.75821,0.91442,0.77645,1.04207,0.0024654,0.0024654,0.0024654
11,301.957,1.00107,0.86923,1.07427,0.99656,0.99949,0.995,0.76638,0.90589,0.73804,1.02901,0.002406,0.002406,0.002406
12,329.437,0.9935,0.85903,1.07386,0.99781,0.9994,0.995,0.76086,0.94663,0.75521,1.0356,0.0023466,0.0023466,0.0023466
13,356.816,0.99384,0.83407,1.07735,0.99748,0.99924,0.995,0.75671,0.91397,0.70209,1.0312,0.0022872,0.0022872,0.0022872
14,384.191,0.99208,0.82127,1.07555,0.99792,0.99965,0.995,0.76212,0.92913,0.69866,1.03296,0.0022278,0.0022278,0.0022278
15,411.546,0.96222,0.79801,1.06215,0.99664,0.99949,0.995,0.75998,0.94429,0.67888,1.0413,0.0021684,0.0021684,0.0021684
16,438.849,0.96595,0.78859,1.06373,0.9955,0.99944,0.995,0.76855,0.92229,0.67123,1.03046,0.002109,0.002109,0.002109
