epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.425,1.28008,2.99436,1.32479,0.00562,1,0.49308,0.30847,1.05182,2.86024,1.18838,0.0679706,0.000323529,0.000323529
2,54.8092,1.09705,2.59826,1.18885,0.00475,1,0.75584,0.54852,0.97824,2.56339,1.12144,0.0349576,0.000643857,0.000643857
3,82.3023,1.13464,2.07478,1.19074,0.82807,0.86275,0.9065,0.65271,1.03789,1.65983,1.12224,0.00193138,0.000950984,0.000950984
4,109.714,1.07885,1.59319,1.14103,0.71549,0.72672,0.73218,0.51601,1.23825,2.14585,1.39332,0.0009406,0.0009406,0.0009406
5,137.079,1.08017,1.35821,1.13208,0.96603,1,0.99301,0.74343,0.9618,1.01156,1.06609,0.0009208,0.0009208,0.0009208
6,164.482,1.06041,1.20824,1.10187,0.99749,1,0.995,0.74008,0.96265,0.96626,1.05867,0.000901,0.000901,0.000901
7,191.851,1.06063,1.13708,1.09106,0.98941,0.98487,0.99455,0.72438,1.01292,1.04963,1.07098,0.0008812,0.0008812,0.0008812
8,219.226,1.01822,1.05968,1.08477,0.99754,1,0.995,0.73891,0.97939,0.91122,1.05818,0.0008614,0.0008614,0.0008614
9,246.569,1.02857,1.05452,1.09068,0.99895,1,0.995,0.75353,0.94354,0.89021,1.04421,0.0008416,0.0008416,0.0008416
10,274.015,1.01592,1.01734,1.09391,0.99778,1,0.995,0.74951,0.9653,0.88179,1.03529,0.0008218,0.0008218,0.0008218
11,301.413,1.01159,1.00961,1.0776,0.99889,1,0.995,0.75841,0.91903,0.84671,1.02877,0.000802,0.000802,0.000802
12,328.788,0.9934,0.99934,1.07675,0.99831,1,0.995,0.7545,0.93391,0.83823,1.02962,0.0007822,0.0007822,0.0007822
13,356.116,1.00352,0.96866,1.07418,0.99624,0.99808,0.995,0.75755,0.93221,0.82108,1.02422,0.0007624,0.0007624,0.0007624
14,383.517,0.99701,0.95644,1.07689,0.99722,1,0.995,0.75863,0.93402,0.8339,1.02614,0.0007426,0.0007426,0.0007426
15,410.896,0.96968,0.93734,1.06017,0.99889,1,0.995,0.76187,0.92366,0.79753,1.02248,0.0007228,0.0007228,0.0007228
16,438.344,0.97034,0.92501,1.06245,0.99882,1,0.995,0.7597,0.92391,0.79728,1.02004,0.000703,0.000703,0.000703
17,465.697,0.96543,0.90968,1.06373,0.99621,1,0.995,0.74822,0.92117,0.78204,1.0194,0.0006832,0.0006832,0.0006832
18,493.04,0.9803,0.91436,1.07187,0.99895,1,0.995,0.7642,0.92534,0.79252,1.01498,0.0006634,0.0006634,0.0006634
19,520.493,0.94662,0.88063,1.04533,0.999,1,0.995,0.76509,0.91663,0.7735,1.01351,0.0006436,0.0006436,0.0006436
20,547.939,0.96121,0.8801,1.0463,0.99656,1,0.995,0.76433,0.91442,0.77702,1.01154,0.0006238,0.0006238,0.0006238
21,575.288,0.97926,0.89549,1.04864,0.99712,1,0.995,0.76528,0.90853,0.7624,1.01808,0.000604,0.000604,0.000604
22,602.667,0.97619,0.9076,1.06294,0.99873,1,0.995,0.76537,0.90256,0.77111,1.00854,0.0005842,0.0005842,0.0005842
23,630.027,0.96258,0.89002,1.05689,0.9986,1,0.995,0.76298,0.90339,0.74813,1.00702,0.0005644,0.0005644,0.0005644
24,657.395,0.92417,0.85207,1.03584,0.99847,1,0.995,0.7707,0.88624,0.72997,1.00731,0.0005446,0.0005446,0.0005446
