epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3821,1.29035,1.70811,1.30513,0.70412,0.19474,0.64621,0.40171,2.11059,3.01168,3.30721,0.0686176,0.000970588,0.000970588
2,54.8191,1.34692,1.09667,1.31637,0.87291,0.49077,0.79803,0.46529,1.38437,1.7247,1.49824,0.0362453,0.00193157,0.00193157
3,82.4393,1.43089,1.11219,1.3415,0.65058,0.67745,0.79473,0.42423,1.58788,2.94838,1.59067,0.00383335,0.00285295,0.00285295
4,109.847,1.46366,1.09116,1.36223,0.79721,0.94615,0.94858,0.64365,1.28198,0.93138,1.40813,0.0028218,0.0028218,0.0028218
5,137.355,1.32723,0.93908,1.26751,0.34715,0.3081,0.24039,0.08289,2.04587,3.21376,1.89011,0.0027624,0.0027624,0.0027624
6,164.767,1.24608,0.79449,1.2253,0.91755,0.89709,0.94852,0.63553,1.12784,0.89592,1.27196,0.002703,0.002703,0.002703
7,192.148,1.2139,0.757,1.20237,0.98178,1,0.99485,0.73449,1.02789,0.63066,1.1392,0.0026436,0.0026436,0.0026436
8,219.665,1.15516,0.6828,1.17706,0.99813,1,0.995,0.69466,1.15769,0.55863,1.20404,0.0025842,0.0025842,0.0025842
9,247.05,1.17714,0.68684,1.19281,0.99192,0.97589,0.99321,0.69487,1.12666,0.60387,1.238,0.0025248,0.0025248,0.0025248
10,274.437,1.17034,0.6634,1.18322,0.98344,0.97823,0.98714,0.70375,1.08694,0.90953,1.1874,0.0024654,0.0024654,0.0024654
11,301.813,1.14767,0.6497,1.17331,0.99177,1,0.995,0.74374,0.9973,0.48469,1.10596,0.002406,0.002406,0.002406
12,329.324,1.15473,0.65105,1.17557,0.98313,0.97777,0.98896,0.70345,1.15816,0.5327,1.13954,0.0023466,0.0023466,0.0023466
13,356.706,1.15367,0.6175,1.17631,0.97377,1,0.99434,0.7474,0.96634,0.48717,1.09278,0.0022872,0.0022872,0.0022872
14,384.224,1.10519,0.60975,1.1506,0.99849,1,0.995,0.71182,1.03901,0.47835,1.0865,0.0022278,0.0022278,0.0022278
15,411.584,1.09286,0.59663,1.14012,0.99572,0.99474,0.99393,0.71803,1.04672,0.59466,1.10755,0.0021684,0.0021684,0.0021684
16,438.984,1.10418,0.5952,1.14178,0.99865,0.99777,0.995,0.73953,1.01001,0.48558,1.07798,0.002109,0.002109,0.002109
17,466.355,1.07372,0.58333,1.13914,0.9972,0.99231,0.99492,0.74784,1.01105,0.45295,1.08631,0.0020496,0.0020496,0.0020496
18,493.842,1.08729,0.56617,1.15119,0.99449,1,0.995,0.74841,1.02472,0.43112,1.0904,0.0019902,0.0019902,0.0019902
19,521.357,1.03968,0.54122,1.11941,0.99086,0.99879,0.99492,0.73615,0.99335,0.4421,1.0812,0.0019308,0.0019308,0.0019308
20,548.723,1.07017,0.54582,1.11749,0.99906,0.99989,0.995,0.76169,0.96678,0.41561,1.05114,0.0018714,0.0018714,0.0018714
21,576.203,1.06954,0.54609,1.12323,0.98293,1,0.99485,0.7556,0.96825,0.43854,1.06258,0.001812,0.001812,0.001812
22,603.592,1.06846,0.53983,1.13135,0.99759,1,0.995,0.75623,0.94853,0.42086,1.0487,0.0017526,0.0017526,0.0017526
23,630.954,1.05462,0.54146,1.12607,0.99865,0.99978,0.995,0.73947,1.03158,0.44807,1.07566,0.0016932,0.0016932,0.0016932
24,658.373,1.03326,0.51857,1.10272,0.99643,0.99929,0.995,0.76314,0.96339,0.40428,1.05059,0.0016338,0.0016338,0.0016338
25,685.839,1.01534,0.51624,1.10921,0.99169,0.99231,0.99485,0.77292,0.94029,0.40552,1.0602,0.0015744,0.0015744,0.0015744
26,713.309,1.04457,0.51623,1.11279,0.998,1,0.995,0.74107,0.97174,0.55103,1.05742,0.001515,0.001515,0.001515
27,740.68,1.00475,0.5081,1.10329,0.99818,0.99231,0.99478,0.77166,0.92929,0.39363,1.03726,0.0014556,0.0014556,0.0014556
28,768.008,0.99154,0.49902,1.09749,0.99779,1,0.995,0.77163,0.92534,0.38092,1.03258,0.0013962,0.0013962,0.0013962
29,795.361,0.99779,0.47667,1.09405,0.99931,0.99135,0.99492,0.76365,0.96541,0.39183,1.05266,0.0013368,0.0013368,0.0013368
30,822.753,0.97804,0.48937,1.08543,0.99761,0.99955,0.995,0.77674,0.92176,0.36635,1.03298,0.0012774,0.0012774,0.0012774
31,850.264,1.00504,0.49292,1.09103,0.9985,0.99231,0.99478,0.76773,0.9438,0.3751,1.03774,0.001218,0.001218,0.001218
32,877.634,0.99565,0.47914,1.1028,0.99571,0.99933,0.995,0.77733,0.93149,0.37285,1.04491,0.0011586,0.0011586,0.0011586
33,905.118,1.00514,0.48209,1.08792,0.99874,0.99231,0.99135,0.76896,0.92915,0.38198,1.03847,0.0010992,0.0010992,0.0010992
