epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7238,1.27389,3.00664,1.3249,0.00557,1,0.5001,0.31172,1.06442,2.86525,1.19153,0.0679706,0.000323529,0.000323529
2,56.0924,1.09293,2.65557,1.19251,0.0047,1,0.74936,0.53086,1.00397,2.64395,1.13993,0.0349576,0.000643857,0.000643857
3,83.5044,1.13411,2.24045,1.19696,0.76583,0.76639,0.87475,0.63518,1.03224,1.98571,1.13115,0.00193138,0.000950984,0.000950984
4,110.872,1.099,1.76797,1.15602,0.97783,0.86648,0.95774,0.68763,1.01597,1.25407,1.10947,0.0009406,0.0009406,0.0009406
5,138.234,1.10306,1.49887,1.14813,0.95105,0.92551,0.98015,0.71892,1.00242,1.12839,1.08807,0.0009208,0.0009208,0.0009208
6,165.595,1.06805,1.33487,1.11387,0.98937,0.9989,0.995,0.72657,1.01261,1.04929,1.08379,0.000901,0.000901,0.000901
7,192.987,1.06957,1.22597,1.10209,1,0.99447,0.995,0.73987,0.98367,1.00304,1.06523,0.0008812,0.0008812,0.0008812
8,220.374,1.04029,1.14037,1.10585,0.99655,0.96923,0.99338,0.74382,0.98045,0.98092,1.06817,0.0008614,0.0008614,0.0008614
9,247.758,1.05072,1.12334,1.10654,0.9818,1,0.9947,0.74402,0.96078,0.93954,1.05024,0.0008416,0.0008416,0.0008416
10,275.231,1.03782,1.08841,1.11049,0.9828,1,0.9947,0.7487,0.96965,0.92212,1.05477,0.0008218,0.0008218,0.0008218
11,302.606,1.01699,1.06863,1.08384,0.99729,1,0.995,0.74813,0.95366,0.92636,1.04947,0.000802,0.000802,0.000802
12,329.959,1.00902,1.06112,1.0887,0.99864,1,0.995,0.75011,0.97595,0.92659,1.05202,0.0007822,0.0007822,0.0007822
13,357.327,1.01077,1.03119,1.08264,0.99558,0.99557,0.995,0.75774,0.93505,0.90329,1.03888,0.0007624,0.0007624,0.0007624
14,384.719,1.0208,1.01501,1.09105,0.99808,1,0.995,0.75181,0.95987,0.86159,1.04267,0.0007426,0.0007426,0.0007426
15,412.05,0.97949,0.99632,1.07314,0.99877,1,0.995,0.75035,0.96955,0.84841,1.04939,0.0007228,0.0007228,0.0007228
16,439.352,0.99225,0.9853,1.07655,0.99828,1,0.995,0.75788,0.94293,0.8601,1.03951,0.000703,0.000703,0.000703
17,466.715,0.98259,0.96567,1.07885,0.99632,1,0.995,0.74269,0.9467,0.84402,1.03544,0.0006832,0.0006832,0.0006832
18,494.025,0.99092,0.97064,1.08249,0.9957,0.99902,0.995,0.74761,0.94918,0.83858,1.03124,0.0006634,0.0006634,0.0006634
19,521.398,0.96611,0.93733,1.06079,0.99793,1,0.995,0.75381,0.93915,0.82221,1.02716,0.0006436,0.0006436,0.0006436
20,548.72,0.97813,0.93159,1.06006,0.99764,1,0.995,0.74766,0.94464,0.82131,1.02526,0.0006238,0.0006238,0.0006238
21,576.008,0.99122,0.94991,1.06279,0.99847,1,0.995,0.76099,0.9343,0.81647,1.02414,0.000604,0.000604,0.000604
22,603.372,0.99087,0.96779,1.07556,0.99855,0.99988,0.995,0.75697,0.92299,0.81774,1.02044,0.0005842,0.0005842,0.0005842
23,630.71,0.98016,0.94234,1.071,0.99905,1,0.995,0.75907,0.92032,0.80405,1.02198,0.0005644,0.0005644,0.0005644
24,658.076,0.94804,0.9107,1.05127,0.99631,1,0.995,0.76806,0.89941,0.78938,1.01642,0.0005446,0.0005446,0.0005446
25,685.444,0.96371,0.92656,1.07031,0.99924,0.99969,0.995,0.76461,0.9117,0.79067,1.01789,0.0005248,0.0005248,0.0005248
26,712.783,0.97977,0.90979,1.0636,0.9968,0.99896,0.995,0.76475,0.91184,0.79946,1.01337,0.000505,0.000505,0.000505
27,740.129,0.95781,0.9121,1.06284,0.99973,0.9998,0.995,0.76546,0.9126,0.78568,1.01474,0.0004852,0.0004852,0.0004852
28,767.462,0.93026,0.89092,1.05142,0.99956,0.99935,0.995,0.76489,0.89597,0.76355,1.01423,0.0004654,0.0004654,0.0004654
29,794.815,0.94227,0.88334,1.05727,0.99924,0.99979,0.995,0.76541,0.89668,0.77107,1.01471,0.0004456,0.0004456,0.0004456
30,822.172,0.93411,0.89247,1.05038,0.99951,1,0.995,0.76048,0.90284,0.76618,1.01715,0.0004258,0.0004258,0.0004258
31,849.507,0.97228,0.88431,1.05502,0.99962,0.99978,0.995,0.76372,0.9089,0.76789,1.0197,0.000406,0.000406,0.000406
32,876.86,0.96337,0.88457,1.065,0.99955,0.9995,0.995,0.75696,0.91144,0.76679,1.01742,0.0003862,0.0003862,0.0003862
33,904.204,0.96185,0.87366,1.04746,0.99881,0.99934,0.995,0.76618,0.90441,0.76389,1.01211,0.0003664,0.0003664,0.0003664
34,931.511,0.9586,0.87445,1.05866,0.9995,0.99967,0.995,0.77352,0.90153,0.75531,1.0108,0.0003466,0.0003466,0.0003466
35,958.875,0.94195,0.87116,1.05103,0.99868,0.99946,0.995,0.76758,0.90675,0.76373,1.01001,0.0003268,0.0003268,0.0003268
36,986.211,0.94998,0.86582,1.04813,0.99947,1,0.995,0.76677,0.90894,0.75728,1.0125,0.000307,0.000307,0.000307
37,1013.55,0.91403,0.85438,1.03381,0.99952,1,0.995,0.76567,0.91365,0.75527,1.01297,0.0002872,0.0002872,0.0002872
38,1040.88,0.95872,0.88246,1.0622,0.99957,0.99959,0.995,0.77008,0.89817,0.75334,1.0109,0.0002674,0.0002674,0.0002674
39,1068.2,0.95546,0.87451,1.05804,0.99944,0.99965,0.995,0.77253,0.89194,0.74532,1.01082,0.0002476,0.0002476,0.0002476
40,1095.53,0.9407,0.86047,1.05789,0.99942,1,0.995,0.77416,0.90278,0.74388,1.00977,0.0002278,0.0002278,0.0002278
41,1123.54,0.91404,1.19665,1.04858,0.99737,0.99918,0.995,0.76088,0.91687,0.76218,1.0216,0.000208,0.000208,0.000208
42,1150.82,0.89942,1.18129,1.04661,0.9948,0.99901,0.995,0.75921,0.91927,0.78282,1.02091,0.0001882,0.0001882,0.0001882
43,1178.04,0.89201,1.16645,1.03627,0.99457,0.99906,0.995,0.76345,0.91465,0.7778,1.0201,0.0001684,0.0001684,0.0001684
44,1205.28,0.88462,1.16249,1.04157,0.99618,0.99923,0.995,0.76157,0.91261,0.76265,1.02113,0.0001486,0.0001486,0.0001486
45,1232.51,0.88224,1.14264,1.02503,0.99533,0.99922,0.995,0.76819,0.90145,0.77218,1.0169,0.0001288,0.0001288,0.0001288
46,1259.7,0.87968,1.16371,1.03705,0.99661,0.9992,0.995,0.76344,0.90354,0.77277,1.01777,0.000109,0.000109,0.000109
47,1286.91,0.87794,1.142,1.04617,0.9963,0.99919,0.995,0.76346,0.90661,0.77009,1.01827,8.92e-05,8.92e-05,8.92e-05
48,1314.15,0.89722,1.15354,1.03845,0.99638,0.99913,0.995,0.76442,0.90639,0.77014,1.01701,6.94e-05,6.94e-05,6.94e-05
49,1341.37,0.87446,1.1524,1.03605,0.99591,0.99911,0.995,0.768,0.90234,0.77701,1.01673,4.96e-05,4.96e-05,4.96e-05
50,1368.6,0.88162,1.15134,1.03286,0.99642,0.99907,0.995,0.76518,0.90209,0.77952,1.01561,2.98e-05,2.98e-05,2.98e-05
