epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4072,1.22243,1.6816,1.25019,0.00796,1,0.94805,0.63726,1.0708,2.70077,1.19913,0.0679706,0.000323529,0.000323529
2,54.795,1.15173,0.84156,1.17195,0.98402,1,0.99455,0.73681,1.02144,0.79516,1.15515,0.0349576,0.000643857,0.000643857
3,82.3565,1.20818,0.83351,1.20347,0.99458,0.97935,0.99268,0.67098,1.13292,0.71486,1.16497,0.00193138,0.000950984,0.000950984
4,109.72,1.15953,0.76881,1.1762,0.98112,0.94737,0.98755,0.69627,1.07594,0.82395,1.15202,0.0009406,0.0009406,0.0009406
5,137.064,1.14189,0.74418,1.16194,0.99195,0.98279,0.98995,0.72029,1.0362,0.70376,1.11568,0.0009208,0.0009208,0.0009208
6,164.444,1.11085,0.65601,1.1353,0.99561,0.99231,0.99258,0.73718,0.9728,0.5054,1.06227,0.000901,0.000901,0.000901
7,191.929,1.10815,0.64327,1.1277,0.99759,0.99825,0.995,0.73794,0.97273,0.57542,1.09031,0.0008812,0.0008812,0.0008812
8,219.424,1.06085,0.60049,1.11678,0.93423,0.95335,0.9935,0.75143,0.93372,0.57536,1.05795,0.0008614,0.0008614,0.0008614
9,246.896,1.07201,0.59495,1.12197,0.99733,0.99231,0.99478,0.73884,1.00115,0.48436,1.09982,0.0008416,0.0008416,0.0008416
10,274.267,1.07462,0.56787,1.13032,0.99858,1,0.995,0.74626,0.96981,0.49195,1.09012,0.0008218,0.0008218,0.0008218
11,301.611,1.05135,0.56567,1.11229,0.98283,1,0.995,0.74319,0.98602,0.43698,1.06627,0.000802,0.000802,0.000802
12,328.95,1.04616,0.57779,1.11397,0.99806,0.99231,0.99478,0.75068,0.99424,0.43681,1.05684,0.0007822,0.0007822,0.0007822
13,356.298,1.06388,0.56604,1.12198,0.99871,1,0.995,0.76069,0.99876,0.46623,1.08269,0.0007624,0.0007624,0.0007624
14,383.767,1.03701,0.54351,1.1123,0.9962,0.99383,0.9948,0.74006,1.02156,0.44998,1.07914,0.0007426,0.0007426,0.0007426
15,411.118,1.02176,0.5262,1.09504,0.99902,0.99984,0.995,0.73493,1.01356,0.42916,1.0625,0.0007228,0.0007228,0.0007228
16,438.471,1.02129,0.52251,1.09612,0.99552,0.99922,0.995,0.76134,0.95246,0.37826,1.0389,0.000703,0.000703,0.000703
