epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4418,1.24326,2.95478,1.30156,0.00589,1,0.52452,0.34385,1.01194,2.83899,1.15933,0.0682941,0.000647059,0.000647059
2,54.84,1.08039,2.39334,1.17404,0.77739,0.60427,0.81644,0.58444,0.99202,2.37475,1.13089,0.0356014,0.00128771,0.00128771
3,82.3474,1.13633,1.69202,1.17388,0.92631,0.87409,0.96707,0.69692,1.05037,1.47336,1.12395,0.00288236,0.00190197,0.00190197
4,109.801,1.06691,1.33054,1.12366,0.98107,0.98462,0.99367,0.73518,0.97224,1.02621,1.07144,0.0018812,0.0018812,0.0018812
5,137.216,1.05462,1.1727,1.11844,0.99708,1,0.995,0.74088,0.96801,0.97083,1.07282,0.0018416,0.0018416,0.0018416
6,164.644,1.03062,1.09203,1.09476,0.99006,0.99035,0.99471,0.74364,0.96756,0.98934,1.06295,0.001802,0.001802,0.001802
7,192.065,1.03881,1.05067,1.09073,0.99833,0.99931,0.995,0.74695,0.94678,0.87168,1.05056,0.0017624,0.0017624,0.0017624
8,219.482,1.01307,0.98924,1.08731,0.99782,1,0.995,0.74622,0.95811,0.86757,1.04976,0.0017228,0.0017228,0.0017228
9,246.874,1.02333,1.01011,1.0915,0.99738,0.99906,0.995,0.75192,0.93335,0.84812,1.04577,0.0016832,0.0016832,0.0016832
10,274.338,1.017,0.9635,1.09445,0.99757,0.99924,0.995,0.74943,0.94723,0.84125,1.04388,0.0016436,0.0016436,0.0016436
11,301.702,1.00157,0.95625,1.0741,0.99701,1,0.995,0.74916,0.92944,0.80942,1.04273,0.001604,0.001604,0.001604
12,329.069,0.98969,0.95461,1.07691,0.99514,0.99579,0.995,0.75531,0.94571,0.80485,1.03536,0.0015644,0.0015644,0.0015644
13,356.544,0.99456,0.92676,1.07709,0.98388,1,0.995,0.75736,0.92463,0.77363,1.028,0.0015248,0.0015248,0.0015248
14,383.945,0.98814,0.91222,1.07819,0.99956,0.99914,0.995,0.76535,0.91699,0.77467,1.03251,0.0014852,0.0014852,0.0014852
15,411.429,0.95659,0.89044,1.06182,0.99704,0.99918,0.995,0.75796,0.92374,0.77233,1.03187,0.0014456,0.0014456,0.0014456
16,438.804,0.96543,0.88675,1.0621,0.99802,0.99928,0.995,0.7634,0.91928,0.74721,1.0214,0.001406,0.001406,0.001406
17,466.203,0.96877,0.87287,1.07066,0.99936,0.99931,0.995,0.76567,0.90225,0.751,1.01615,0.0013664,0.0013664,0.0013664
18,493.582,0.97426,0.87183,1.07199,0.99627,0.99231,0.99492,0.74906,0.93237,0.75639,1.02545,0.0013268,0.0013268,0.0013268
