epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3825,1.24705,1.68085,1.2715,1,0.31502,0.55232,0.34058,2.48298,2.65283,2.57448,0.0682941,0.000647059,0.000647059
2,54.785,1.1736,0.85574,1.20384,0.83115,0.83168,0.90358,0.50374,1.55413,1.46734,1.62821,0.0356014,0.00128771,0.00128771
3,82.4443,1.21498,0.85112,1.21924,0.88684,0.97368,0.96764,0.55308,1.3871,1.50382,1.41333,0.00288236,0.00190197,0.00190197
4,109.97,1.16332,0.7449,1.1941,0.94736,0.93846,0.9486,0.67053,1.10685,0.9222,1.24486,0.0018812,0.0018812,0.0018812
5,137.489,1.16195,0.72215,1.191,0.98071,0.97994,0.98826,0.71582,1.05693,0.70951,1.16826,0.0018416,0.0018416,0.0018416
6,164.998,1.12143,0.66662,1.16611,0.96147,0.98893,0.99276,0.68356,1.10923,0.5946,1.16352,0.001802,0.001802,0.001802
7,192.391,1.15833,0.68528,1.16679,0.96577,0.98322,0.98969,0.72838,1.01686,0.68261,1.11111,0.0017624,0.0017624,0.0017624
8,219.912,1.1036,0.6413,1.15329,0.99021,0.99397,0.99453,0.73551,0.98923,0.72644,1.11764,0.0017228,0.0017228,0.0017228
9,247.39,1.10096,0.61308,1.14984,0.8995,0.97323,0.99249,0.70032,1.12523,0.60677,1.16039,0.0016832,0.0016832,0.0016832
10,274.76,1.1183,0.61113,1.16405,0.99611,1,0.995,0.74183,0.97483,0.71241,1.08624,0.0016436,0.0016436,0.0016436
11,302.225,1.09339,0.6018,1.14013,0.99628,1,0.995,0.73302,0.97365,0.55532,1.09895,0.001604,0.001604,0.001604
12,329.611,1.098,0.60115,1.13697,0.99782,1,0.995,0.73612,1.01211,0.48831,1.08935,0.0015644,0.0015644,0.0015644
13,356.964,1.09752,0.58208,1.1478,0.9987,0.99905,0.995,0.75103,0.9707,0.45728,1.08009,0.0015248,0.0015248,0.0015248
14,384.453,1.08331,0.57875,1.14026,0.99812,0.99474,0.99137,0.74251,1.03754,0.47291,1.10794,0.0014852,0.0014852,0.0014852
