epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4332,1.27243,2.99174,1.3213,0.00551,1,0.54267,0.34946,1.04651,2.85566,1.17453,0.0679706,0.000323529,0.000323529
2,54.8175,1.08235,2.57339,1.18226,0.00496,1,0.77948,0.54897,0.98329,2.51892,1.13472,0.0349576,0.000643857,0.000643857
3,82.3311,1.12779,1.90461,1.18289,0.85857,0.84178,0.91388,0.65616,1.03844,1.34622,1.11428,0.00193138,0.000950984,0.000950984
4,109.765,1.06805,1.37911,1.122,0.99708,0.94151,0.99274,0.73004,0.97848,1.06208,1.08087,0.0009406,0.0009406,0.0009406
5,137.149,1.05992,1.17611,1.11657,0.98474,0.99999,0.99485,0.74416,0.97309,0.96587,1.07019,0.0009208,0.0009208,0.0009208
6,164.571,1.02792,1.08831,1.09401,0.99613,0.99201,0.995,0.74407,0.9692,0.94484,1.0569,0.000901,0.000901,0.000901
7,191.922,1.03353,1.04485,1.08285,0.99376,0.99885,0.995,0.73776,0.96911,0.90007,1.05526,0.0008812,0.0008812,0.0008812
8,219.256,1.00238,0.97614,1.08247,0.99801,1,0.995,0.75535,0.94454,0.84973,1.04791,0.0008614,0.0008614,0.0008614
9,246.663,1.00515,0.97767,1.08075,0.99853,1,0.995,0.7578,0.91942,0.85548,1.03631,0.0008416,0.0008416,0.0008416
10,274.067,1.00438,0.94452,1.08652,0.99773,0.99954,0.995,0.74643,0.96442,0.81141,1.04597,0.0008218,0.0008218,0.0008218
11,301.398,0.99465,0.94225,1.06648,0.99893,1,0.995,0.75509,0.92343,0.80839,1.03887,0.000802,0.000802,0.000802
12,328.748,0.97346,0.92461,1.06701,0.99859,0.99912,0.995,0.75836,0.94531,0.78863,1.03602,0.0007822,0.0007822,0.0007822
13,356.103,0.98195,0.90555,1.06941,0.99932,1,0.995,0.7632,0.92508,0.76933,1.0231,0.0007624,0.0007624,0.0007624
14,383.59,0.98878,0.88271,1.07231,0.99878,1,0.995,0.76298,0.92776,0.75129,1.01993,0.0007426,0.0007426,0.0007426
15,410.929,0.94407,0.85547,1.05088,0.9977,0.9994,0.995,0.75385,0.93503,0.7404,1.03128,0.0007228,0.0007228,0.0007228
16,438.234,0.9658,0.86016,1.06013,0.99779,0.99936,0.995,0.75568,0.92016,0.74209,1.0284,0.000703,0.000703,0.000703
17,465.589,0.96094,0.83554,1.06358,0.99848,0.99977,0.995,0.76293,0.89105,0.73713,1.01132,0.0006832,0.0006832,0.0006832
18,492.887,0.95558,0.83714,1.0644,0.9987,0.9992,0.995,0.75854,0.91896,0.73541,1.01914,0.0006634,0.0006634,0.0006634
19,520.258,0.93278,0.80466,1.04259,0.9978,0.99961,0.995,0.76977,0.89572,0.7119,1.01174,0.0006436,0.0006436,0.0006436
20,547.642,0.95159,0.80298,1.0426,0.99697,0.99936,0.995,0.77008,0.90348,0.70865,1.0129,0.0006238,0.0006238,0.0006238
21,575.136,0.96118,0.82032,1.0474,0.99855,0.99231,0.99485,0.76963,0.88844,0.71078,1.01282,0.000604,0.000604,0.000604
22,602.578,0.95699,0.82995,1.05669,0.99846,0.99905,0.995,0.77492,0.89625,0.69622,1.00218,0.0005842,0.0005842,0.0005842
23,629.942,0.95216,0.80799,1.0529,0.99772,0.99959,0.995,0.76646,0.87373,0.68542,1.00029,0.0005644,0.0005644,0.0005644
24,657.305,0.91084,0.77917,1.03159,0.99825,0.99972,0.995,0.76787,0.86713,0.66685,1.00533,0.0005446,0.0005446,0.0005446
25,684.643,0.92065,0.78146,1.0484,0.99747,0.99956,0.995,0.76728,0.89352,0.67982,1.00954,0.0005248,0.0005248,0.0005248
26,711.929,0.94736,0.7733,1.04587,0.99599,0.99947,0.995,0.76878,0.89702,0.69658,1.01096,0.000505,0.000505,0.000505
27,739.26,0.91997,0.76115,1.04188,0.99711,0.99948,0.995,0.77284,0.87316,0.67591,1.00348,0.0004852,0.0004852,0.0004852
