epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.445,1.24928,2.93549,1.29934,0.00573,1,0.62897,0.39876,1.03192,2.85982,1.1917,0.0682941,0.000647059,0.000647059
2,54.8549,1.1007,2.14318,1.17029,0.73378,0.60998,0.79373,0.56527,1.03236,2.10569,1.16233,0.0356014,0.00128771,0.00128771
3,82.371,1.11549,1.37561,1.14958,0.95879,0.88462,0.96595,0.67655,1.11184,1.22629,1.1659,0.00288236,0.00190197,0.00190197
4,109.773,1.05349,1.13924,1.11741,0.99669,0.99152,0.99159,0.73196,0.95815,1.06096,1.07124,0.0018812,0.0018812,0.0018812
5,137.174,1.04471,1.06403,1.11522,0.99522,0.99898,0.995,0.73958,0.96884,0.91174,1.07455,0.0018416,0.0018416,0.0018416
6,164.571,1.01563,0.97393,1.08294,0.99854,1,0.995,0.74204,0.96941,0.83797,1.0617,0.001802,0.001802,0.001802
7,191.964,1.04083,0.95713,1.08877,0.99559,0.99931,0.995,0.74687,0.93249,0.82198,1.06269,0.0017624,0.0017624,0.0017624
8,219.382,1.0114,0.90262,1.08554,0.99743,0.99231,0.99478,0.73991,0.9818,0.79934,1.07308,0.0017228,0.0017228,0.0017228
9,246.695,1.00798,0.8896,1.08405,0.99744,0.9997,0.995,0.75163,0.93513,0.78457,1.04601,0.0016832,0.0016832,0.0016832
10,274.093,1.02566,0.86083,1.09516,0.99842,1,0.995,0.75687,0.92698,0.74289,1.03478,0.0016436,0.0016436,0.0016436
11,301.457,0.99511,0.85029,1.07269,0.99724,0.99231,0.99471,0.75882,0.90908,0.74356,1.04067,0.001604,0.001604,0.001604
12,328.838,0.97792,0.83911,1.06485,1,0.9936,0.995,0.75175,0.96085,0.76564,1.04477,0.0015644,0.0015644,0.0015644
13,356.135,0.99281,0.817,1.07066,0.99635,0.99231,0.99492,0.75039,0.94454,0.71389,1.03798,0.0015248,0.0015248,0.0015248
14,383.466,0.98649,0.80556,1.07392,0.99887,1,0.995,0.75149,0.98999,0.70632,1.05887,0.0014852,0.0014852,0.0014852
15,410.774,0.9597,0.77742,1.05874,0.99794,0.99977,0.995,0.75578,0.92079,0.68437,1.02702,0.0014456,0.0014456,0.0014456
16,438.084,0.9752,0.7694,1.06717,0.99783,0.99969,0.995,0.76665,0.93457,0.66542,1.02546,0.001406,0.001406,0.001406
17,465.515,0.96943,0.75438,1.06842,0.99794,0.99959,0.995,0.76505,0.89159,0.66599,1.00919,0.0013664,0.0013664,0.0013664
18,492.81,0.97051,0.75189,1.07156,0.99852,0.99991,0.995,0.76878,0.9097,0.64656,1.01298,0.0013268,0.0013268,0.0013268
19,520.145,0.93543,0.7192,1.04797,0.99762,0.99966,0.995,0.76937,0.89036,0.63002,1.01043,0.0012872,0.0012872,0.0012872
20,547.701,0.96215,0.72054,1.04613,0.99828,0.99971,0.995,0.75849,0.91264,0.63812,1.0214,0.0012476,0.0012476,0.0012476
21,575.018,0.96726,0.72872,1.05306,0.99807,0.99992,0.995,0.7673,0.89675,0.61803,1.01574,0.001208,0.001208,0.001208
22,602.348,0.97055,0.7379,1.06859,0.99776,0.99991,0.995,0.77178,0.88574,0.60942,1.00997,0.0011684,0.0011684,0.0011684
23,629.684,0.95523,0.7206,1.05962,0.99821,1,0.995,0.76827,0.87982,0.60353,1.00886,0.0011288,0.0011288,0.0011288
24,657.029,0.9187,0.6887,1.03924,0.99857,1,0.995,0.77514,0.87281,0.5861,1.00722,0.0010892,0.0010892,0.0010892
25,684.362,0.93065,0.69173,1.0547,0.99913,1,0.995,0.7689,0.88364,0.59189,1.0076,0.0010496,0.0010496,0.0010496
26,711.699,0.95907,0.68694,1.05129,0.99925,1,0.995,0.77701,0.88302,0.5844,1.00781,0.00101,0.00101,0.00101
27,739.035,0.92158,0.66715,1.04611,0.99829,1,0.995,0.77483,0.89059,0.58788,1.01231,0.0009704,0.0009704,0.0009704
28,766.378,0.8996,0.65794,1.03813,0.99811,1,0.995,0.77932,0.86914,0.57225,0.99668,0.0009308,0.0009308,0.0009308
29,793.711,0.92314,0.65329,1.04743,0.99713,0.99955,0.995,0.78064,0.886,0.58774,1.00216,0.0008912,0.0008912,0.0008912
30,821.051,0.89849,0.64599,1.03726,0.99727,0.99961,0.995,0.77145,0.88365,0.57839,1.01423,0.0008516,0.0008516,0.0008516
31,848.375,0.93896,0.65449,1.04151,0.99817,0.99993,0.995,0.76657,0.90505,0.59095,1.01362,0.000812,0.000812,0.000812
32,875.709,0.9194,0.64473,1.046,0.99869,1,0.995,0.77348,0.90206,0.56512,1.00761,0.0007724,0.0007724,0.0007724
33,903.006,0.91537,0.63617,1.0309,0.9979,0.99995,0.995,0.77553,0.86823,0.54684,0.99257,0.0007328,0.0007328,0.0007328
34,930.326,0.91465,0.63178,1.04296,0.99601,0.99952,0.995,0.78444,0.87966,0.55823,0.99448,0.0006932,0.0006932,0.0006932
35,957.658,0.90673,0.62794,1.03604,0.99796,0.99982,0.995,0.7763,0.89351,0.56069,0.99821,0.0006536,0.0006536,0.0006536
36,984.989,0.89133,0.61486,1.02947,0.99742,0.99964,0.995,0.77112,0.87418,0.54936,0.99494,0.000614,0.000614,0.000614
37,1012.29,0.86571,0.60713,1.01787,0.9985,1,0.995,0.77843,0.88194,0.54607,1.00066,0.0005744,0.0005744,0.0005744
38,1039.61,0.91325,0.62414,1.04707,0.99866,1,0.995,0.76999,0.88115,0.53425,1.00297,0.0005348,0.0005348,0.0005348
39,1066.91,0.91346,0.6242,1.04149,0.99879,1,0.995,0.78044,0.87542,0.53438,0.99688,0.0004952,0.0004952,0.0004952
40,1094.23,0.88703,0.60486,1.03909,0.9988,1,0.995,0.77703,0.89709,0.55429,1.00191,0.0004556,0.0004556,0.0004556
