epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3886,1.20664,1.68393,1.24162,0.00722,0.96923,0.74161,0.45219,1.31031,2.66533,1.33615,0.0679706,0.000323529,0.000323529
2,54.7724,1.13621,0.782,1.16857,0.99549,0.98447,0.99241,0.73466,0.99229,0.90402,1.13993,0.0349576,0.000643857,0.000643857
3,82.4126,1.17983,0.77874,1.19947,0.99053,0.9863,0.99471,0.7328,1.01581,0.63281,1.13147,0.00193138,0.000950984,0.000950984
4,109.83,1.11897,0.70167,1.15985,0.99429,1,0.995,0.73416,0.98511,0.59619,1.09882,0.0009406,0.0009406,0.0009406
5,137.217,1.10686,0.70445,1.15347,0.98049,0.96876,0.9944,0.73665,0.9889,0.56368,1.09286,0.0009208,0.0009208,0.0009208
6,164.702,1.09313,0.64619,1.13547,0.99401,0.99887,0.995,0.72363,1.00698,0.48757,1.10538,0.000901,0.000901,0.000901
7,192.076,1.09775,0.62274,1.14078,0.99787,0.99231,0.99401,0.75298,0.94812,0.46805,1.08099,0.0008812,0.0008812,0.0008812
8,219.56,1.07299,0.59284,1.13254,0.99894,0.99451,0.995,0.75139,0.9286,0.44707,1.0538,0.0008614,0.0008614,0.0008614
9,246.911,1.05337,0.59108,1.12304,0.99321,0.99942,0.99474,0.74661,0.9843,0.45564,1.08486,0.0008416,0.0008416,0.0008416
10,274.29,1.06322,0.5614,1.1308,0.99024,0.9993,0.995,0.74085,1.00221,0.46906,1.08287,0.0008218,0.0008218,0.0008218
11,301.63,1.03781,0.55559,1.11164,0.98539,1,0.995,0.74185,0.96438,0.45777,1.06502,0.000802,0.000802,0.000802
12,328.996,1.04044,0.55441,1.11264,1,0.99551,0.995,0.74722,0.97645,0.44091,1.0652,0.0007822,0.0007822,0.0007822
13,356.349,1.05244,0.54106,1.1191,0.99777,0.99926,0.995,0.74618,0.9606,0.42516,1.06929,0.0007624,0.0007624,0.0007624
14,383.727,1.0314,0.52702,1.11398,0.99907,0.99818,0.995,0.76157,0.94626,0.39392,1.05032,0.0007426,0.0007426,0.0007426
15,411.185,1.00772,0.52336,1.0979,0.99898,0.99231,0.99492,0.75965,0.95854,0.40367,1.05311,0.0007228,0.0007228,0.0007228
16,438.562,1.00033,0.5161,1.09676,0.99659,0.99936,0.995,0.76081,0.95411,0.38967,1.04493,0.000703,0.000703,0.000703
17,465.914,1.00031,0.51049,1.09697,0.99512,0.99921,0.995,0.76021,0.95019,0.40376,1.04269,0.0006832,0.0006832,0.0006832
18,493.277,1.01365,0.50944,1.10616,0.99653,0.99946,0.995,0.75995,0.93262,0.39418,1.02736,0.0006634,0.0006634,0.0006634
19,520.647,0.97491,0.49716,1.08181,0.99528,0.99945,0.995,0.76354,0.93367,0.39092,1.03338,0.0006436,0.0006436,0.0006436
20,548.16,0.99004,0.47806,1.0746,0.99789,1,0.995,0.76376,0.91674,0.36586,1.01999,0.0006238,0.0006238,0.0006238
21,575.628,1.01007,0.49196,1.09138,0.99501,0.99901,0.995,0.76055,0.9246,0.37808,1.0494,0.000604,0.000604,0.000604
22,602.997,1.00023,0.49688,1.0998,0.99617,0.99935,0.995,0.76751,0.95131,0.36534,1.05097,0.0005842,0.0005842,0.0005842
23,630.468,0.97486,0.47958,1.09224,0.99736,0.99939,0.995,0.77465,0.90207,0.36399,1.01784,0.0005644,0.0005644,0.0005644
24,657.93,0.95332,0.47509,1.07026,0.99828,0.99992,0.995,0.77414,0.8963,0.35006,1.02112,0.0005446,0.0005446,0.0005446
25,685.272,0.96298,0.47494,1.08983,0.99918,0.99231,0.99492,0.77951,0.88065,0.34714,1.01764,0.0005248,0.0005248,0.0005248
26,712.75,0.98874,0.47424,1.08362,0.99893,0.99231,0.99485,0.77056,0.90843,0.36812,1.01943,0.000505,0.000505,0.000505
