epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3947,1.24391,1.66051,1.27705,0.00962,0.95304,0.29631,0.12437,1.6963,2.78508,1.83783,0.0682941,0.000647059,0.000647059
2,54.7723,1.20408,0.89007,1.22039,0.75685,0.821,0.87118,0.55311,1.34699,1.35135,1.38145,0.0356014,0.00128771,0.00128771
3,82.3862,1.25615,0.88073,1.25677,0.82226,0.91597,0.95506,0.57898,1.31014,1.58468,1.41008,0.00288236,0.00190197,0.00190197
4,109.91,1.21756,0.84444,1.21888,0.80114,0.94211,0.97454,0.68474,1.12404,0.89673,1.22824,0.0018812,0.0018812,0.0018812
5,137.408,1.19065,0.77411,1.20463,0.98141,0.96691,0.98501,0.70085,1.14223,0.66402,1.2067,0.0018416,0.0018416,0.0018416
6,164.905,1.15514,0.68876,1.17818,0.98893,0.98178,0.99421,0.73149,1.00727,0.51544,1.12127,0.001802,0.001802,0.001802
7,192.394,1.14896,0.67827,1.16699,0.76615,0.79578,0.77308,0.53212,1.17544,1.05952,1.20163,0.0017624,0.0017624,0.0017624
8,219.804,1.1135,0.63042,1.16093,0.99736,0.99137,0.99445,0.71238,1.08353,0.52107,1.17377,0.0017228,0.0017228,0.0017228
9,247.157,1.12411,0.63044,1.16811,0.99141,0.99856,0.99495,0.72215,1.05184,0.50528,1.12744,0.0016832,0.0016832,0.0016832
10,274.552,1.1186,0.61697,1.15517,0.70554,0.9,0.81602,0.58613,1.01105,1.03523,1.10407,0.0016436,0.0016436,0.0016436
11,301.906,1.09711,0.59514,1.14103,0.9772,0.99231,0.99374,0.74092,1.0286,0.48702,1.08663,0.001604,0.001604,0.001604
12,329.374,1.09252,0.60123,1.1417,0.9935,0.99231,0.99437,0.73021,1.01799,0.45464,1.08741,0.0015644,0.0015644,0.0015644
13,356.722,1.09083,0.57755,1.14486,0.99561,0.99913,0.995,0.72676,1.05859,0.46505,1.13264,0.0015248,0.0015248,0.0015248
14,384.067,1.08881,0.57834,1.14248,0.99553,0.99733,0.995,0.72521,1.03037,0.46374,1.10059,0.0014852,0.0014852,0.0014852
15,411.385,1.06524,0.55122,1.13058,0.99713,0.99231,0.99288,0.71327,1.04303,0.4626,1.10191,0.0014456,0.0014456,0.0014456
16,438.752,1.06168,0.55751,1.11993,0.96531,0.99112,0.99331,0.7255,1.08632,0.4746,1.13638,0.001406,0.001406,0.001406
17,466.117,1.0506,0.53953,1.13291,0.99309,0.99231,0.99339,0.7024,1.13071,0.50188,1.14292,0.0013664,0.0013664,0.0013664
18,493.462,1.07664,0.53598,1.13703,0.99748,1,0.995,0.75715,0.98864,0.42935,1.07131,0.0013268,0.0013268,0.0013268
19,520.926,1.01652,0.53015,1.10605,0.99749,0.99231,0.99471,0.74844,0.97198,0.44805,1.05479,0.0012872,0.0012872,0.0012872
20,548.286,1.03644,0.5062,1.10028,0.99136,0.99557,0.99477,0.75248,0.9642,0.41622,1.05005,0.0012476,0.0012476,0.0012476
21,575.615,1.0374,0.52202,1.10406,0.99049,0.99935,0.995,0.76636,0.95425,0.39294,1.05745,0.001208,0.001208,0.001208
22,603.078,1.04411,0.51801,1.11121,0.99144,0.99231,0.99464,0.74883,0.95898,0.4207,1.06294,0.0011684,0.0011684,0.0011684
23,630.417,1.01618,0.5096,1.11202,0.99615,0.99934,0.995,0.75766,1.02326,0.42648,1.07907,0.0011288,0.0011288,0.0011288
24,657.799,1.00291,0.49983,1.10131,0.99056,0.99959,0.99492,0.77147,0.9529,0.40282,1.04859,0.0010892,0.0010892,0.0010892
25,685.279,1.00292,0.50474,1.10724,0.99884,0.99231,0.99492,0.75796,0.94226,0.38624,1.05448,0.0010496,0.0010496,0.0010496
26,712.619,1.03877,0.50867,1.11207,0.99828,1,0.995,0.76433,0.95154,0.38921,1.06346,0.00101,0.00101,0.00101
27,739.95,0.99191,0.48042,1.09655,0.99741,0.99936,0.995,0.7666,0.90492,0.37175,1.02899,0.0009704,0.0009704,0.0009704
28,767.306,0.97762,0.46813,1.09325,0.99812,0.9996,0.995,0.78723,0.91054,0.36784,1.0274,0.0009308,0.0009308,0.0009308
29,794.79,0.96096,0.45766,1.07951,0.99804,0.99983,0.995,0.76897,0.94932,0.3799,1.03777,0.0008912,0.0008912,0.0008912
