epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4292,1.2481,2.9471,1.30298,0.00568,1,0.60196,0.39999,1.0853,2.87736,1.22421,0.0682941,0.000647059,0.000647059
2,54.8172,1.09485,2.22734,1.1731,0.86277,0.6389,0.86748,0.62544,1.03209,2.08177,1.13381,0.0356014,0.00128771,0.00128771
3,82.3355,1.11924,1.51966,1.15853,0.93205,0.96154,0.98268,0.71417,1.03351,1.20709,1.10271,0.00288236,0.00190197,0.00190197
4,109.757,1.04838,1.19147,1.10826,0.99016,1,0.995,0.7535,0.95243,0.99571,1.06134,0.0018812,0.0018812,0.0018812
5,137.168,1.05277,1.0896,1.10658,0.9987,1,0.995,0.74304,0.95831,0.94021,1.06715,0.0018416,0.0018416,0.0018416
6,164.534,1.02073,1.02384,1.08049,0.99806,0.99905,0.995,0.74603,0.97314,0.87489,1.05904,0.001802,0.001802,0.001802
7,191.886,1.03094,1.00256,1.07853,0.99754,0.99914,0.995,0.7515,0.93061,0.85211,1.04699,0.0017624,0.0017624,0.0017624
8,219.239,1.00764,0.94044,1.0814,0.99778,0.99925,0.995,0.76083,0.93222,0.8222,1.04547,0.0017228,0.0017228,0.0017228
9,246.633,1.01602,0.94969,1.08195,0.99681,0.9995,0.995,0.75968,0.91287,0.80482,1.03437,0.0016832,0.0016832,0.0016832
10,273.979,1.00719,0.91646,1.08389,0.99838,0.9991,0.995,0.76064,0.92629,0.80789,1.02668,0.0016436,0.0016436,0.0016436
11,301.305,1.00136,0.91231,1.06929,0.99727,0.99938,0.995,0.76549,0.9157,0.78264,1.02968,0.001604,0.001604,0.001604
12,328.687,0.98202,0.90151,1.06783,0.99525,0.99935,0.995,0.75808,0.95159,0.77009,1.03686,0.0015644,0.0015644,0.0015644
13,356.04,0.99378,0.88052,1.0703,0.99552,0.99921,0.995,0.7621,0.90423,0.73812,1.0222,0.0015248,0.0015248,0.0015248
14,383.397,0.98412,0.85434,1.07167,0.99935,0.99983,0.995,0.75876,0.91777,0.73759,1.02694,0.0014852,0.0014852,0.0014852
15,410.754,0.95489,0.83693,1.05239,0.99826,0.99954,0.995,0.76534,0.90969,0.72856,1.0265,0.0014456,0.0014456,0.0014456
16,438.09,0.96629,0.84113,1.05811,0.99576,0.99927,0.995,0.76269,0.91068,0.71859,1.02027,0.001406,0.001406,0.001406
17,465.417,0.96762,0.8212,1.06343,0.99746,0.99929,0.995,0.76379,0.88649,0.71794,1.01335,0.0013664,0.0013664,0.0013664
18,492.764,0.9686,0.81727,1.06537,0.9976,0.99918,0.995,0.76052,0.90684,0.70303,1.01812,0.0013268,0.0013268,0.0013268
19,520.069,0.93401,0.78794,1.04533,0.99804,0.99964,0.995,0.77175,0.91275,0.69618,1.01424,0.0012872,0.0012872,0.0012872
20,547.468,0.95866,0.78718,1.04495,0.99879,1,0.995,0.76936,0.8906,0.68326,1.01252,0.0012476,0.0012476,0.0012476
21,574.782,0.96951,0.79909,1.04888,0.99836,0.99971,0.995,0.76884,0.89273,0.6788,1.01905,0.001208,0.001208,0.001208
22,602.102,0.96404,0.80776,1.06045,0.99632,0.99948,0.995,0.76803,0.87936,0.6642,1.00599,0.0011684,0.0011684,0.0011684
23,629.43,0.95381,0.79028,1.05546,0.99662,0.99949,0.995,0.77387,0.87169,0.65932,0.99923,0.0011288,0.0011288,0.0011288
24,656.819,0.91804,0.76603,1.03226,0.9989,1,0.995,0.77013,0.86747,0.64376,0.99799,0.0010892,0.0010892,0.0010892
25,684.151,0.93125,0.77594,1.05444,0.99877,1,0.995,0.76648,0.88576,0.65415,1.01048,0.0010496,0.0010496,0.0010496
26,711.48,0.94335,0.76101,1.04611,0.9985,0.99945,0.995,0.77605,0.87442,0.6523,1.00335,0.00101,0.00101,0.00101
27,738.84,0.9268,0.75155,1.04507,0.99504,0.99836,0.995,0.7778,0.88406,0.65188,1.01037,0.0009704,0.0009704,0.0009704
28,766.216,0.90728,0.73844,1.03648,0.99711,0.99952,0.995,0.77753,0.8691,0.6444,0.99497,0.0009308,0.0009308,0.0009308
29,793.544,0.91772,0.73859,1.04113,0.99707,0.99954,0.995,0.77239,0.89452,0.65862,1.00422,0.0008912,0.0008912,0.0008912
30,820.878,0.90592,0.73587,1.03563,0.99625,0.99949,0.995,0.77268,0.86133,0.64078,1.00075,0.0008516,0.0008516,0.0008516
31,848.182,0.9481,0.73848,1.04265,0.99626,0.99947,0.995,0.77197,0.88227,0.64171,1.00237,0.000812,0.000812,0.000812
32,875.562,0.93581,0.73319,1.04968,0.99698,0.99951,0.995,0.77324,0.88127,0.64532,1.0025,0.0007724,0.0007724,0.0007724
33,902.914,0.93147,0.72887,1.03122,0.99629,0.99949,0.995,0.78025,0.8546,0.62815,0.98757,0.0007328,0.0007328,0.0007328
34,930.301,0.92065,0.72058,1.03895,0.99665,0.9995,0.995,0.77915,0.8658,0.62568,0.99048,0.0006932,0.0006932,0.0006932
35,957.66,0.9088,0.71587,1.03132,0.99576,0.99945,0.995,0.7759,0.87789,0.62812,0.99575,0.0006536,0.0006536,0.0006536
36,985.006,0.91281,0.71287,1.03085,0.9977,0.99965,0.995,0.77201,0.87676,0.62618,0.99613,0.000614,0.000614,0.000614
37,1012.33,0.8774,0.69469,1.01896,0.99878,1,0.995,0.77939,0.86513,0.61381,0.99501,0.0005744,0.0005744,0.0005744
38,1039.7,0.9257,0.72019,1.04663,0.99796,0.99978,0.995,0.77622,0.85624,0.61697,0.99106,0.0005348,0.0005348,0.0005348
39,1067.02,0.90931,0.71382,1.03441,0.99681,0.99947,0.995,0.78332,0.86364,0.62437,0.99132,0.0004952,0.0004952,0.0004952
40,1094.38,0.89089,0.69819,1.03532,0.99651,0.99951,0.995,0.77522,0.88004,0.62835,0.99572,0.0004556,0.0004556,0.0004556
41,1122.49,0.86936,0.94057,1.02175,0.99479,0.99908,0.995,0.77459,0.88488,0.66166,0.99882,0.000416,0.000416,0.000416
42,1149.79,0.85854,0.92818,1.02244,0.99646,0.9995,0.995,0.77317,0.86982,0.64708,0.99557,0.0003764,0.0003764,0.0003764
43,1177.01,0.85334,0.90779,1.01086,0.99561,0.99943,0.995,0.77371,0.85122,0.63209,1.00074,0.0003368,0.0003368,0.0003368
44,1204.21,0.85026,0.89887,1.01743,0.99735,0.99972,0.995,0.77057,0.86642,0.63149,0.99906,0.0002972,0.0002972,0.0002972
45,1231.44,0.8494,0.88063,1.00154,0.99586,0.99946,0.995,0.78004,0.84926,0.62092,0.99593,0.0002576,0.0002576,0.0002576
46,1258.67,0.84203,0.88856,1.01262,0.99618,0.99948,0.995,0.7743,0.84594,0.61691,0.9916,0.000218,0.000218,0.000218
47,1285.86,0.84049,0.87242,1.0219,0.99662,0.99952,0.995,0.7703,0.86199,0.61974,0.9888,0.0001784,0.0001784,0.0001784
48,1313.11,0.85385,0.88111,1.00933,0.99634,0.99948,0.995,0.77227,0.85795,0.61766,0.98876,0.0001388,0.0001388,0.0001388
49,1340.34,0.84255,0.87457,1.01641,0.9961,0.99947,0.995,0.77281,0.85562,0.61478,0.99104,9.92e-05,9.92e-05,9.92e-05
50,1367.58,0.84604,0.8742,1.01298,0.99629,0.99948,0.995,0.7706,0.85392,0.61542,0.99043,5.96e-05,5.96e-05,5.96e-05
